;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   361)      1526.2  Rx         074F  1  05 
   362)      1528.5  Rx         028B  8  8A 00 00 00 00 00 00 00 
   363)      1530.4  Rx         0774  1  05 
   364)      1552.8  Rx         0710  0  RTR
   365)      1553.0  Rx         0750  0  RTR
   366)      1553.3  Rx         0710  1  05 
   367)      1555.2  Rx         0750  1  85 
   368)      1573.3  Rx         0300  8  4B 80 00 00 00 00 00 00 
   369)      1579.0  Rx         028C  8  8B 00 00 00 00 00 00 00 
   370)      1582.8  Rx         0711  0  RTR
   371)      1583.0  Rx         0751  0  RTR
   372)      1583.3  Rx         0711  1  05 
   373)      1583.4  Rx         0761  0  RTR
   374)      1583.7  Rx         0751  1  05 
   375)      1591.1  Rx         0761  1  85 
   376)      1612.8  Rx         0712  0  RTR
   377)      1613.0  Rx         0752  0  RTR
   378)      1613.3  Rx         0712  1  85 
   379)      1613.5  Rx         0762  0  RTR
   380)      1618.2  Rx         0762  1  85 
   381)      1623.2  Rx         0300  8  4C 80 00 00 00 00 00 00 
   382)      1632.5  Rx         028D  8  8C 00 00 00 00 00 00 00 
   383)      1642.8  Rx         0713  0  RTR
   384)      1643.1  Rx         0713  1  85 
   385)      1643.2  Rx         0753  0  RTR
   386)      1643.5  Rx         0763  0  RTR
   387)      1646.1  Rx         0753  1  05 
   388)      1647.7  Rx         0763  1  85 
   389)      1672.9  Rx         0714  0  RTR
   390)      1673.0  Rx         0764  0  RTR
   391)      1673.5  Rx         0300  8  4D 80 00 00 00 00 00 00 
   392)      1673.8  Rx         0714  1  85 
   393)      1678.9  Rx         0764  1  85 
   394)      1681.1  Rx         028E  8  8D 00 00 00 00 00 00 00 
   395)      1702.9  Rx         0701  0  RTR
   396)      1703.1  Rx         0701  1  85 
   397)      1703.3  Rx         0741  0  RTR
   398)      1703.4  Rx         0765  0  RTR
   399)      1705.2  Rx         0741  1  05 
   400)      1710.1  Rx         0765  1  85 
   401)      1723.1  Rx         0300  8  4E 80 00 00 00 00 00 00 
   402)      1730.0  Rx         028F  8  8E 00 00 00 00 00 00 00 
   403)      1732.8  Rx         0702  0  RTR
   404)      1733.1  Rx         0702  1  05 
   405)      1733.3  Rx         0742  0  RTR
   406)      1733.4  Rx         0766  0  RTR
   407)      1735.8  Rx         0742  1  05 
   408)      1742.1  Rx         0766  1  85 
   409)      1762.8  Rx         0703  0  RTR
   410)      1763.1  Rx         0703  1  05 
   411)      1763.3  Rx         0743  0  RTR
   412)      1763.5  Rx         0767  0  RTR
   413)      1765.2  Rx         0743  1  05 
   414)      1768.1  Rx         0767  1  85 
   415)      1773.2  Rx         0300  8  4F 80 00 00 00 00 00 00 
   416)      1779.8  Rx         0290  8  8F 00 00 00 00 00 00 00 
   417)      1792.8  Rx         0704  0  RTR
   418)      1793.1  Rx         0704  1  05 
