;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
 18622)     78736.3  Rx         028F  8  8E 00 00 00 00 00 00 00 
 18623)     78745.9  Rx         0709  0  RTR
 18624)     78746.1  Rx         0749  0  RTR
 18625)     78746.3  Rx         0709  1  85 
 18626)     78746.5  Rx         076B  0  RTR
 18627)     78751.2  Rx         0749  1  85 
 18628)     78751.5  Rx         076B  1  85 
 18629)     78775.8  Rx         070A  0  RTR
 18630)     78776.0  Rx         070A  1  05 
 18631)     78776.2  Rx         074A  0  RTR
 18632)     78776.4  Rx         076C  0  RTR
 18633)     78776.9  Rx         0300  8  4F 80 00 00 00 00 00 00 
 18634)     78780.5  Rx         074A  1  05 
 18635)     78782.7  Rx         076C  1  85 
 18636)     78786.8  Rx         0290  8  8F 00 00 00 00 00 00 00 
 18637)     78805.8  Rx         070B  0  RTR
 18638)     78806.0  Rx         070B  1  05 
 18639)     78806.2  Rx         074B  0  RTR
 18640)     78806.4  Rx         076D  0  RTR
 18641)     78809.8  Rx         076D  1  85 
 18642)     78810.0  Rx         074B  1  85 
 18643)     78826.1  Rx         0300  8  50 80 00 00 00 00 00 00 
 18644)     78835.8  Rx         070C  0  RTR
 18645)     78835.9  Rx         074C  0  RTR
 18646)     78836.4  Rx         0291  8  90 00 00 00 00 00 00 00 
 18647)     78836.7  Rx         070C  1  05 
 18648)     78836.9  Rx         076E  0  RTR
 18649)     78838.9  Rx         074C  1  85 
 18650)     78844.1  Rx         076E  1  85 
 18651)     78865.8  Rx         070D  0  RTR
 18652)     78866.0  Rx         074D  0  RTR
 18653)     78866.2  Rx         070D  1  05 
 18654)     78866.4  Rx         076F  0  RTR
 18655)     78867.1  Rx         074D  1  85 
 18656)     78871.3  Rx         076F  1  85 
 18657)     78876.0  Rx         0300  8  51 80 00 00 00 00 00 00 
 18658)     78876.4  Rx         0260  4  1F CA 01 00 
 18659)     78880.8  Rx         0292  8  91 00 00 00 00 00 00 00 
 18660)     78895.7  Rx         070E  0  RTR
 18661)     78896.0  Rx         070E  1  85 
 18662)     78896.2  Rx         074E  0  RTR
 18663)     78896.3  Rx         0770  0  RTR
 18664)     78897.2  Rx         074E  1  05 
 18665)     78900.8  Rx         0770  1  85 
 18666)     78925.7  Rx         070F  0  RTR
 18667)     78926.0  Rx         070F  1  85 
 18668)     78926.2  Rx         074F  0  RTR
 18669)     78926.4  Rx         0771  0  RTR
 18670)     78926.9  Rx         0300  8  52 80 00 00 00 00 00 00 
 18671)     78929.2  Rx         074F  1  85 
 18672)     78934.7  Rx         0771  1  85 
 18673)     78935.4  Rx         0293  8  92 00 00 00 00 00 00 00 
 18674)     78955.7  Rx         0710  0  RTR
 18675)     78955.9  Rx         0750  0  RTR
 18676)     78956.1  Rx         0772  0  RTR
 18677)     78956.4  Rx         0710  1  85 
 18678)     78958.3  Rx         0750  1  05 
 18679)     78958.6  Rx         0772  1  85 
 18680)     78976.0  Rx         0300  8  53 80 00 00 00 00 00 00 
 18681)     78977.5  Rx         0294  8  93 00 00 00 00 00 00 00 
 18682)     78985.7  Rx         0711  0  RTR
 18683)     78986.0  Rx         0711  1  85 
 18684)     78986.2  Rx         0751  0  RTR
 18685)     78986.4  Rx         0773  0  RTR
 18686)     78986.8  Rx         0751  1  85 
 18687)     78994.6  Rx         0773  1  85 
 18688)     79015.8  Rx         0712  0  RTR
 18689)     79016.0  Rx         0712  1  05 
 18690)     79016.2  Rx         0752  0  RTR
 18691)     79016.4  Rx         0774  0  RTR
 18692)     79020.6  Rx         0752  1  85 
 18693)     79021.1  Rx         0774  1  85 
 18694)     79026.0  Rx         0300  8  40 80 00 00 00 00 00 00 
 18695)     79034.6  Rx         0281  8  80 00 00 00 00 00 00 00 
 18696)     79045.8  Rx         0713  0  RTR
 18697)     79046.0  Rx         0713  1  05 
 18698)     79046.2  Rx         0753  0  RTR
 18699)     79048.8  Rx         0753  1  85 
 18700)     79056.2  Rx         0260  4  10 23 72 02 
 18701)     79056.9  Rx         0351  8  30 25 72 02 00 00 00 00 
 18702)     79075.8  Rx         0714  0  RTR
 18703)     79076.0  Rx         0714  1  05 
 18704)     79076.2  Rx         0761  0  RTR
 18705)     79076.7  Rx         0300  8  41 80 00 00 00 00 00 00 
 18706)     79081.1  Rx         0282  8  81 00 00 00 00 00 00 00 
 18707)     79082.0  Rx         0761  1  05 
 18708)     79105.7  Rx         0701  0  RTR
 18709)     79106.0  Rx         0741  0  RTR
 18710)     79106.2  Rx         0701  1  05 
 18711)     79106.4  Rx         0762  0  RTR
 18712)     79108.2  Rx         0741  1  85 
 18713)     79109.4  Rx         0762  1  05 
 18714)     79125.8  Rx         0000  2  81 54 
 18715)     79126.4  Rx         0300  8  42 80 00 00 00 00 00 00 
 18716)     79130.7  Rx         0283  8  82 00 00 00 00 00 00 00 
 18717)     79135.8  Rx         0702  0  RTR
 18718)     79136.0  Rx         0702  1  85 
 18719)     79136.2  Rx         0742  0  RTR
 18720)     79136.4  Rx         0763  0  RTR
 18721)     79138.8  Rx         0742  1  85 
 18722)     79139.6  Rx         0763  1  05 
 18723)     79165.8  Rx         0703  0  RTR
 18724)     79166.0  Rx         0703  1  85 
 18725)     79166.2  Rx         0743  0  RTR
 18726)     79166.4  Rx         0764  0  RTR
 18727)     79168.3  Rx         0743  1  85 
 18728)     79169.6  Rx         0764  1  05 
 18729)     79176.1  Rx         0300  8  43 80 00 00 00 00 00 00 
 18730)     79176.9  Rx         0284  8  83 00 00 00 00 00 00 00 
 18731)     79195.8  Rx         0704  0  RTR
 18732)     79196.0  Rx         0704  1  85 
 18733)     79196.2  Rx         0744  0  RTR
 18734)     79196.4  Rx         0765  0  RTR
 18735)     79201.0  Rx         0744  1  05 
 18736)     79201.6  Rx         0765  1  05 
 18737)     79225.8  Rx         0705  0  RTR
 18738)     79226.0  Rx         0705  1  85 
 18739)     79226.2  Rx         0745  0  RTR
 18740)     79226.4  Rx         0766  0  RTR
 18741)     79226.9  Rx         0300  8  44 80 00 00 00 00 00 00 
 18742)     79228.7  Rx         0285  8  84 00 00 00 00 00 00 00 
 18743)     79231.3  Rx         0745  1  85 
 18744)     79232.0  Rx         0766  1  05 
 18745)     79255.8  Rx         0706  0  RTR
 18746)     79256.0  Rx         0746  0  RTR
 18747)     79256.2  Rx         0706  1  05 
 18748)     79256.4  Rx         0767  0  RTR
 18749)     79259.6  Rx         0746  1  05 
 18750)     79260.2  Rx         0767  1  05 
 18751)     79276.1  Rx         0300  8  45 80 00 00 00 00 00 00 
 18752)     79283.4  Rx         0286  8  85 00 00 00 00 00 00 00 
 18753)     79285.8  Rx         0707  0  RTR
 18754)     79286.0  Rx         0707  1  05 
 18755)     79286.2  Rx         0747  0  RTR
 18756)     79286.4  Rx         0768  0  RTR
 18757)     79288.5  Rx         0747  1  85 
 18758)     79290.6  Rx         0768  1  05 
 18759)     79315.8  Rx         0708  0  RTR
 18760)     79316.0  Rx         0708  1  05 
 18761)     79316.2  Rx         0748  0  RTR
 18762)     79316.4  Rx         0769  0  RTR
 18763)     79317.2  Rx         0748  1  85 
 18764)     79318.5  Rx         0769  1  05 
 18765)     79326.1  Rx         0300  8  46 80 00 00 00 00 00 00 
 18766)     79330.0  Rx         0287  8  86 00 00 00 00 00 00 00 
 18767)     79345.8  Rx         0709  0  RTR
 18768)     79346.0  Rx         0709  1  05 
 18769)     79346.2  Rx         0749  0  RTR
 18770)     79346.4  Rx         076A  0  RTR
 18771)     79351.2  Rx         0749  1  05 
 18772)     79356.2  Rx         076A  1  05 
 18773)     79375.8  Rx         070A  0  RTR
 18774)     79376.0  Rx         070A  1  85 
 18775)     79376.2  Rx         074A  0  RTR
 18776)     79376.4  Rx         076B  0  RTR
 18777)     79376.9  Rx         0300  8  47 80 00 00 00 00 00 00 
 18778)     79378.5  Rx         0288  8  87 00 00 00 00 00 00 00 
 18779)     79380.5  Rx         074A  1  85 
 18780)     79381.5  Rx         076B  1  05 
 18781)     79405.8  Rx         070B  0  RTR
 18782)     79406.0  Rx         070B  1  85 
 18783)     79406.2  Rx         074B  0  RTR
 18784)     79406.4  Rx         076C  0  RTR
 18785)     79409.8  Rx         074B  1  05 
 18786)     79412.7  Rx         076C  1  05 
 18787)     79426.1  Rx         0300  8  48 80 00 00 00 00 00 00 
 18788)     79433.2  Rx         0289  8  88 00 00 00 00 00 00 00 
 18789)     79435.8  Rx         070C  0  RTR
 18790)     79436.0  Rx         074C  0  RTR
 18791)     79436.2  Rx         070C  1  85 
 18792)     79436.4  Rx         076D  0  RTR
 18793)     79438.9  Rx         074C  1  05 
 18794)     79439.8  Rx         076D  1  05 
 18795)     79465.8  Rx         070D  0  RTR
 18796)     79466.0  Rx         070D  1  85 
 18797)     79466.2  Rx         074D  0  RTR
 18798)     79466.4  Rx         076E  0  RTR
 18799)     79467.1  Rx         074D  1  05 
 18800)     79474.1  Rx         076E  1  05 
 18801)     79476.1  Rx         0300  8  49 80 00 00 00 00 00 00 
 18802)     79486.4  Rx         028A  8  89 00 00 00 00 00 00 00 
 18803)     79495.8  Rx         070E  0  RTR
 18804)     79496.0  Rx         070E  1  05 
 18805)     79496.2  Rx         074E  0  RTR
 18806)     79496.4  Rx         076F  0  RTR
 18807)     79497.2  Rx         074E  1  85 
 18808)     79501.4  Rx         076F  1  05 
 18809)     79525.8  Rx         070F  0  RTR
 18810)     79526.0  Rx         074F  0  RTR
 18811)     79526.2  Rx         0770  0  RTR
 18812)     79526.7  Rx         0300  8  4A 80 00 00 00 00 00 00 
 18813)     79526.9  Rx         070F  1  05 
 18814)     79529.3  Rx         074F  1  05 
 18815)     79530.9  Rx         0770  1  05 
 18816)     79535.4  Rx         028B  8  8A 00 00 00 00 00 00 00 
 18817)     79555.8  Rx         0710  0  RTR
 18818)     79556.0  Rx         0710  1  05 
 18819)     79556.2  Rx         0750  0  RTR
 18820)     79556.4  Rx         0771  0  RTR
 18821)     79558.4  Rx         0750  1  85 
 18822)     79564.7  Rx         0771  1  05 
 18823)     79576.1  Rx         0300  8  4B 80 00 00 00 00 00 00 
 18824)     79585.8  Rx         0711  0  RTR
 18825)     79586.3  Rx         028C  8  CB 5F 0E 00 26 00 01 05 
 18826)     79586.5  Rx         0711  1  05 
 18827)     79586.7  Rx         0751  0  RTR
 18828)     79586.9  Rx         0772  0  RTR
 18829)     79588.4  Rx         0772  1  05 
 18830)     79591.8  Rx         0751  1  05 
 18831)     79615.8  Rx         0712  0  RTR
 18832)     79616.0  Rx         0712  1  85 
 18833)     79616.2  Rx         0752  0  RTR
 18834)     79616.4  Rx         0773  0  RTR
 18835)     79620.6  Rx         0752  1  05 
 18836)     79624.5  Rx         0773  1  05 
 18837)     79626.1  Rx         0300  8  4C 80 00 00 00 00 00 00 
 18838)     79629.6  Rx         028D  8  8C 00 00 00 00 00 00 00 
 18839)     79645.8  Rx         0713  0  RTR
 18840)     79646.0  Rx         0713  1  85 
 18841)     79646.2  Rx         0753  0  RTR
 18842)     79646.4  Rx         0774  0  RTR
 18843)     79648.8  Rx         0753  1  05 
 18844)     79651.2  Rx         0774  1  05 
 18845)     79675.8  Rx         0714  0  RTR
 18846)     79676.3  Rx         0300  8  4D 80 00 00 00 00 00 00 
 18847)     79676.5  Rx         0714  1  85 
 18848)     79678.4  Rx         028E  8  8D 00 00 00 00 00 00 00 
 18849)     79705.8  Rx         0701  0  RTR
 18850)     79706.0  Rx         0701  1  85 
 18851)     79706.2  Rx         0741  0  RTR
 18852)     79706.4  Rx         0761  0  RTR
 18853)     79708.2  Rx         0741  1  05 
 18854)     79712.0  Rx         0761  1  85 
 18855)     79726.1  Rx         0300  8  4E 80 00 00 00 00 00 00 
 18856)     79735.8  Rx         0702  0  RTR
 18857)     79736.3  Rx         028F  8  8E 00 00 00 00 00 00 00 
 18858)     79736.5  Rx         0702  1  05 
 18859)     79736.7  Rx         0742  0  RTR
 18860)     79736.9  Rx         0762  0  RTR
 18861)     79738.8  Rx         0742  1  05 
 18862)     79739.4  Rx         0762  1  85 
 18863)     79765.8  Rx         0703  0  RTR
 18864)     79766.1  Rx         0703  1  05 
 18865)     79766.2  Rx         0743  0  RTR
 18866)     79766.4  Rx         0763  0  RTR
 18867)     79768.3  Rx         0743  1  05 
 18868)     79769.7  Rx         0763  1  85 
 18869)     79776.1  Rx         0300  8  4F 80 00 00 00 00 00 00 
 18870)     79786.8  Rx         0290  8  8F 00 00 00 00 00 00 00 
 18871)     79795.8  Rx         0704  0  RTR
 18872)     79796.1  Rx         0704  1  05 
 18873)     79796.2  Rx         0744  0  RTR
 18874)     79796.4  Rx         0764  0  RTR
 18875)     79799.6  Rx         0764  1  85 
 18876)     79801.0  Rx         0744  1  85 
 18877)     79825.8  Rx         0705  0  RTR
 18878)     79826.0  Rx         0705  1  05 
 18879)     79826.3  Rx         0745  0  RTR
 18880)     79826.4  Rx         0765  0  RTR
 18881)     79826.9  Rx         0300  8  50 80 00 00 00 00 00 00 
 18882)     79831.3  Rx         0745  1  05 
 18883)     79831.8  Rx         0765  1  85 
 18884)     79836.3  Rx         0291  8  90 00 00 00 00 00 00 00 
 18885)     79855.8  Rx         0706  0  RTR
 18886)     79856.0  Rx         0706  1  85 
 18887)     79856.3  Rx         0746  0  RTR
 18888)     79856.4  Rx         0766  0  RTR
 18889)     79859.6  Rx         0746  1  85 
 18890)     79862.1  Rx         0766  1  85 
 18891)     79876.1  Rx         0300  8  51 80 00 00 00 00 00 00 
 18892)     79880.1  Rx         0292  8  91 00 00 00 00 00 00 00 
 18893)     79885.8  Rx         0707  0  RTR
 18894)     79886.0  Rx         0707  1  85 
 18895)     79886.2  Rx         0747  0  RTR
 18896)     79886.4  Rx         0767  0  RTR
 18897)     79888.5  Rx         0747  1  05 
 18898)     79890.2  Rx         0767  1  85 
 18899)     79915.8  Rx         0708  0  RTR
 18900)     79916.1  Rx         0708  1  85 
 18901)     79916.2  Rx         0748  0  RTR
 18902)     79916.4  Rx         0768  0  RTR
 18903)     79917.3  Rx         0748  1  05 
 18904)     79920.6  Rx         0768  1  85 
 18905)     79926.1  Rx         0300  8  52 80 00 00 00 00 00 00 
 18906)     79935.4  Rx         0293  8  92 00 00 00 00 00 00 00 
 18907)     79945.8  Rx         0709  0  RTR
 18908)     79946.0  Rx         0709  1  85 
 18909)     79946.2  Rx         0749  0  RTR
 18910)     79946.4  Rx         0769  0  RTR
 18911)     79948.5  Rx         0769  1  85 
 18912)     79951.2  Rx         0749  1  85 
 18913)     79975.8  Rx         070A  0  RTR
 18914)     79976.0  Rx         074A  0  RTR
 18915)     79976.2  Rx         076A  0  RTR
 18916)     79976.7  Rx         0300  8  53 80 00 00 00 00 00 00 
 18917)     79976.9  Rx         070A  1  05 
 18918)     79977.5  Rx         0294  8  93 00 00 00 00 00 00 00 
 18919)     79980.5  Rx         074A  1  05 
 18920)     79986.3  Rx         076A  1  85 
 18921)     80005.8  Rx         070B  0  RTR
 18922)     80006.0  Rx         070B  1  05 
 18923)     80006.2  Rx         074B  0  RTR
 18924)     80006.4  Rx         076B  0  RTR
 18925)     80009.8  Rx         074B  1  85 
 18926)     80011.6  Rx         076B  1  85 
 18927)     80026.1  Rx         0300  8  40 80 00 00 00 00 00 00 
 18928)     80034.5  Rx         0281  8  80 00 00 00 00 00 00 00 
 18929)     80035.8  Rx         070C  0  RTR
 18930)     80036.0  Rx         074C  0  RTR
 18931)     80036.2  Rx         076C  0  RTR
 18932)     80036.7  Rx         070C  1  05 
 18933)     80038.9  Rx         074C  1  85 
 18934)     80042.7  Rx         076C  1  85 
 18935)     80056.2  Rx         0260  4  04 23 77 04 
 18936)     80057.8  Rx         0345  8  24 25 77 04 00 00 00 00 
 18937)     80065.8  Rx         070D  0  RTR
 18938)     80066.0  Rx         074D  0  RTR
 18939)     80066.2  Rx         070D  1  05 
 18940)     80066.4  Rx         076D  0  RTR
 18941)     80067.1  Rx         074D  1  85 
 18942)     80069.8  Rx         076D  1  85 
 18943)     80076.1  Rx         0300  8  41 80 00 00 00 00 00 00 
 18944)     80081.1  Rx         0282  8  81 00 00 00 00 00 00 00 
 18945)     80095.8  Rx         070E  0  RTR
 18946)     80096.0  Rx         070E  1  85 
 18947)     80096.2  Rx         074E  0  RTR
 18948)     80096.4  Rx         076E  0  RTR
 18949)     80097.2  Rx         074E  1  05 
 18950)     80103.9  Rx         076E  1  85 
 18951)     80116.0  Rx         0260  4  13 AC 01 00 
 18952)     80126.1  Rx         07E5  8  04 01 00 00 00 00 00 00 
 18953)     80126.3  Rx         070F  0  RTR
 18954)     80126.5  Rx         074F  0  RTR
 18955)     80126.7  Rx         076F  0  RTR
 18956)     80127.2  Rx         0300  8  42 80 00 00 00 00 00 00 
 18957)     80127.4  Rx         070F  1  85 
 18958)     80129.2  Rx         074F  1  85 
 18959)     80130.7  Rx         0283  8  82 00 00 00 00 00 00 00 
 18960)     80131.4  Rx         076F  1  85 
 18961)     80136.1  Rx         07E5  8  11 54 00 00 00 00 00 00 
 18962)     80155.8  Rx         0710  0  RTR
 18963)     80156.1  Rx         0710  1  85 
 18964)     80156.2  Rx         0750  0  RTR
 18965)     80156.4  Rx         0770  0  RTR
 18966)     80158.3  Rx         0750  1  05 
 18967)     80160.9  Rx         0770  1  85 
 18968)     80176.1  Rx         0300  8  43 80 00 00 00 00 00 00 
 18969)     80176.9  Rx         0284  8  83 00 00 00 00 00 00 00 
 18970)     80185.8  Rx         0711  0  RTR
 18971)     80186.1  Rx         0711  1  85 
 18972)     80186.2  Rx         0751  0  RTR
 18973)     80186.4  Rx         0771  0  RTR
 18974)     80186.8  Rx         0751  1  85 
 18975)     80194.7  Rx         0771  1  85 
 18976)     80195.0  Rx         01F3  4  12 58 0C 00 
 18977)     80215.8  Rx         0712  0  RTR
 18978)     80216.0  Rx         0752  0  RTR
 18979)     80216.2  Rx         0772  0  RTR
 18980)     80216.7  Rx         0712  1  05 
 18981)     80218.5  Rx         0772  1  85 
 18982)     80220.6  Rx         0752  1  85 
 18983)     80226.1  Rx         0300  8  44 80 00 00 00 00 00 00 
 18984)     80228.3  Rx         0285  8  84 00 00 00 00 00 00 00 
 18985)     80246.0  Rx         0260  4  13 AC 00 00 
 18986)     80246.2  Rx         0713  0  RTR
 18987)     80246.4  Rx         0713  1  05 
 18988)     80246.6  Rx         0753  0  RTR
 18989)     80246.8  Rx         0773  0  RTR
 18990)     80248.8  Rx         0753  1  85 
 18991)     80254.5  Rx         0773  1  85 
 18992)     80275.8  Rx         0714  0  RTR
 18993)     80276.1  Rx         0714  1  05 
 18994)     80276.2  Rx         0774  0  RTR
 18995)     80276.8  Rx         0300  8  45 80 00 00 00 00 00 00 
 18996)     80281.2  Rx         0774  1  85 
 18997)     80283.4  Rx         0286  8  85 00 00 00 00 00 00 00 
 18998)     80305.8  Rx         0701  0  RTR
 18999)     80306.1  Rx         0701  1  05 
 19000)     80306.2  Rx         0741  0  RTR
 19001)     80308.2  Rx         0741  1  85 
 19002)     80326.1  Rx         0300  8  46 80 00 00 00 00 00 00 
 19003)     80330.0  Rx         0287  8  86 00 00 00 00 00 00 00 
 19004)     80335.8  Rx         0702  0  RTR
 19005)     80336.1  Rx         0702  1  85 
 19006)     80336.2  Rx         0742  0  RTR
 19007)     80336.4  Rx         0761  0  RTR
 19008)     80338.8  Rx         0742  1  85 
 19009)     80342.0  Rx         0761  1  05 
 19010)     80365.8  Rx         0703  0  RTR
 19011)     80366.0  Rx         0743  0  RTR
 19012)     80366.2  Rx         0762  0  RTR
 19013)     80366.6  Rx         0703  1  85 
 19014)     80368.3  Rx         0743  1  85 
 19015)     80369.4  Rx         0762  1  05 
 19016)     80376.1  Rx         0300  8  47 80 00 00 00 00 00 00 
 19017)     80378.5  Rx         0288  8  87 00 00 00 00 00 00 00 
 19018)     80395.8  Rx         0704  0  RTR
 19019)     80396.1  Rx         0704  1  85 
 19020)     80396.3  Rx         0744  0  RTR
 19021)     80396.4  Rx         0763  0  RTR
 19022)     80399.7  Rx         0763  1  05 
 19023)     80401.0  Rx         0744  1  05 
 19024)     80425.8  Rx         0705  0  RTR
 19025)     80426.0  Rx         0745  0  RTR
 19026)     80426.2  Rx         0764  0  RTR
 19027)     80426.7  Rx         0300  8  48 80 00 00 00 00 00 00 
 19028)     80426.9  Rx         0705  1  85 
 19029)     80429.6  Rx         0764  1  05 
 19030)     80433.2  Rx         0289  8  88 00 00 00 00 00 00 00 
 19031)     80455.8  Rx         0706  0  RTR
 19032)     80456.1  Rx         0706  1  05 
 19033)     80456.3  Rx         0746  0  RTR
 19034)     80456.5  Rx         0765  0  RTR
 19035)     80459.6  Rx         0746  1  05 
 19036)     80461.6  Rx         0765  1  05 
 19037)     80476.1  Rx         0300  8  49 80 00 00 00 00 00 00 
 19038)     80485.8  Rx         0707  0  RTR
 19039)     80486.1  Rx         0707  1  05 
 19040)     80486.3  Rx         0747  0  RTR
 19041)     80486.5  Rx         0766  0  RTR
 19042)     80487.0  Rx         028A  8  89 00 00 00 00 00 00 00 
 19043)     80488.5  Rx         0747  1  85 
 19044)     80492.1  Rx         0766  1  05 
 19045)     80515.8  Rx         0708  0  RTR
 19046)     80516.1  Rx         0708  1  05 
 19047)     80516.3  Rx         0748  0  RTR
 19048)     80516.5  Rx         0767  0  RTR
 19049)     80517.3  Rx         0748  1  85 
 19050)     80520.3  Rx         0767  1  05 
 19051)     80526.2  Rx         0300  8  4A 80 00 00 00 00 00 00 
 19052)     80535.4  Rx         028B  8  8A 00 00 00 00 00 00 00 
 19053)     80545.8  Rx         0709  0  RTR
 19054)     80546.0  Rx         0749  0  RTR
 19055)     80546.3  Rx         0709  1  05 
 19056)     80546.5  Rx         0768  0  RTR
 19057)     80550.7  Rx         0768  1  05 
 19058)     80551.2  Rx         0749  1  05 
 19059)     80575.9  Rx         070A  0  RTR
 19060)     80576.0  Rx         074A  0  RTR
 19061)     80576.3  Rx         0769  0  RTR
 19062)     80576.8  Rx         0300  8  4B 80 00 00 00 00 00 00 
 19063)     80577.0  Rx         070A  1  85 
 19064)     80578.6  Rx         0769  1  05 
 19065)     80580.5  Rx         074A  1  85 
 19066)     80586.1  Rx         028C  8  8B 00 00 00 00 00 00 00 
 19067)     80605.9  Rx         070B  0  RTR
 19068)     80606.1  Rx         070B  1  85 
 19069)     80606.3  Rx         074B  0  RTR
 19070)     80606.5  Rx         076A  0  RTR
 19071)     80609.8  Rx         074B  1  05 
 19072)     80616.3  Rx         076A  1  05 
 19073)     80626.2  Rx         0300  8  4C 80 00 00 00 00 00 00 
 19074)     80629.6  Rx         028D  8  8C 00 00 00 00 00 00 00 
 19075)     80635.9  Rx         070C  0  RTR
 19076)     80636.1  Rx         070C  1  85 
 19077)     80636.3  Rx         074C  0  RTR
 19078)     80636.5  Rx         076B  0  RTR
 19079)     80638.9  Rx         074C  1  05 
 19080)     80641.6  Rx         076B  1  05 
 19081)     80665.9  Rx         070D  0  RTR
 19082)     80666.1  Rx         070D  1  85 
 19083)     80666.3  Rx         074D  0  RTR
 19084)     80666.5  Rx         076C  0  RTR
 19085)     80667.1  Rx         074D  1  05 
 19086)     80672.7  Rx         076C  1  05 
 19087)     80676.2  Rx         0300  8  4D 80 00 00 00 00 00 00 
 19088)     80678.4  Rx         028E  8  8D 00 00 00 00 00 00 00 
 19089)     80695.8  Rx         070E  0  RTR
 19090)     80696.1  Rx         070E  1  05 
 19091)     80696.3  Rx         074E  0  RTR
 19092)     80696.5  Rx         076D  0  RTR
 19093)     80697.2  Rx         074E  1  85 
 19094)     80699.8  Rx         076D  1  05 
 19095)     80725.9  Rx         070F  0  RTR
 19096)     80726.1  Rx         074F  0  RTR
 19097)     80726.3  Rx         070F  1  05 
 19098)     80726.5  Rx         076E  0  RTR
 19099)     80727.0  Rx         0300  8  4E 80 00 00 00 00 00 00 
 19100)     80729.3  Rx         074F  1  05 
 19101)     80733.9  Rx         076E  1  05 
 19102)     80736.3  Rx         028F  8  8E 00 00 00 00 00 00 00 
 19103)     80755.9  Rx         0710  0  RTR
 19104)     80756.0  Rx         0750  0  RTR
 19105)     80756.3  Rx         076F  0  RTR
 19106)     80756.7  Rx         0710  1  05 
 19107)     80758.3  Rx         0750  1  85 
 19108)     80761.5  Rx         076F  1  05 
 19109)     80776.2  Rx         0300  8  4F 80 00 00 00 00 00 00 
 19110)     80785.9  Rx         0711  0  RTR
 19111)     80786.1  Rx         0711  1  05 
 19112)     80786.3  Rx         0751  0  RTR
 19113)     80786.5  Rx         0770  0  RTR
 19114)     80787.0  Rx         0290  8  8F 00 00 00 00 00 00 00 
 19115)     80787.2  Rx         0751  1  05 
 19116)     80791.2  Rx         0770  1  05 
 19117)     80815.9  Rx         0712  0  RTR
 19118)     80816.1  Rx         0752  0  RTR
 19119)     80816.3  Rx         0712  1  85 
 19120)     80816.5  Rx         0771  0  RTR
 19121)     80820.6  Rx         0752  1  05 
 19122)     80824.7  Rx         0771  1  05 
 19123)     80826.2  Rx         0300  8  50 80 00 00 00 00 00 00 
 19124)     80836.3  Rx         0291  8  90 00 00 00 00 00 00 00 
 19125)     80845.9  Rx         0713  0  RTR
 19126)     80846.1  Rx         0713  1  85 
 19127)     80846.3  Rx         0753  0  RTR
 19128)     80846.5  Rx         0772  0  RTR
 19129)     80848.5  Rx         0772  1  05 
 19130)     80848.8  Rx         0753  1  05 
 19131)     80875.9  Rx         0714  0  RTR
 19132)     80876.2  Rx         01D4  4  33 01 04 02 
 19133)     80876.4  Rx         0714  1  85 
 19134)     80876.6  Rx         0773  0  RTR
 19135)     80877.1  Rx         0300  8  51 80 00 00 00 00 00 00 
 19136)     80877.5  Rx         0260  4  1F CA 01 00 
 19137)     80880.0  Rx         0292  8  91 00 00 00 00 00 00 00 
 19138)     80884.9  Rx         0773  1  05 
 19139)     80906.0  Rx         0701  0  RTR
 19140)     80906.2  Rx         0741  0  RTR
 19141)     80906.4  Rx         0701  1  85 
 19142)     80906.6  Rx         0774  0  RTR
 19143)     80908.2  Rx         0741  1  05 
 19144)     80911.2  Rx         0774  1  05 
 19145)     80926.2  Rx         0300  8  52 80 00 00 00 00 00 00 
 19146)     80935.3  Rx         0293  8  92 00 00 00 00 00 00 00 
 19147)     80935.9  Rx         0702  0  RTR
 19148)     80936.1  Rx         0702  1  05 
 19149)     80936.3  Rx         0742  0  RTR
 19150)     80938.8  Rx         0742  1  05 
 19151)     80950.1  Rx         01ED  4  0C 58 0C 00 
 19152)     80965.9  Rx         0703  0  RTR
 19153)     80966.1  Rx         0743  0  RTR
 19154)     80966.3  Rx         0761  0  RTR
 19155)     80966.5  Rx         0703  1  05 
 19156)     80968.3  Rx         0743  1  05 
 19157)     80972.1  Rx         0761  1  85 
 19158)     80976.2  Rx         0300  8  53 80 00 00 00 00 00 00 
 19159)     80977.5  Rx         0294  8  93 00 00 00 00 00 00 00 
 19160)     80995.9  Rx         0704  0  RTR
 19161)     80996.1  Rx         0704  1  05 
 19162)     80996.3  Rx         0744  0  RTR
 19163)     80996.5  Rx         0762  0  RTR
 19164)     80999.4  Rx         0762  1  85 
 19165)     81001.0  Rx         0744  1  85 
 19166)     81025.9  Rx         0705  0  RTR
 19167)     81026.1  Rx         0745  0  RTR
 19168)     81026.2  Rx         0763  0  RTR
 19169)     81026.8  Rx         0300  8  40 80 00 00 00 00 00 00 
 19170)     81027.0  Rx         0705  1  05 
